District,State,Confirmed,n
Thrissur,Kerala,6,1.5
Alappuzha,Kerala,2,1.5
Kasaragod,Kerala,82,1.5
Pathanamthitta,Kerala,12,1.5
Kannur,Kerala,25,1.5
Ernakulam,Kerala,19,1.5
Kottayam,Kerala,3,1.5
Thiruvananthapuram,Kerala,5,1.5
Idukki,Kerala,3,1.5
Malappuram,Kerala,8,1.5
Kozhikode,Kerala,6,1.5
Palakkad,Kerala,3,1.5
Wayanad,Kerala,1,1.5
Kollam,Kerala,1,1.5

Unknown,Maharashtra,21,1.5
Pune,Maharashtra,26,1.5
Mumbai,Maharashtra,67,1.5
Nagpur,Maharashtra,9,1.5
Thane,Maharashtra,4,1.5
Ahmednagar,Maharashtra,2,1.5
Yavatmal,Maharashtra,3,1.5
Aurangabad,Maharashtra,1,1.5
Ratnagiri,Maharashtra,1,1.5
Sangli,Maharashtra,24,1.5
Satara,Maharashtra,2,1.5
Kolhapur,Maharashtra,1,1.5
Gondiya,Maharashtra,1,1.5
Akola,Maharashtra,0,1.5
Amravati,Maharashtra,0,1.5
Beed,Maharashtra,0,1.5
Bhandara,Maharashtra,0,1.5
Buldhana,Maharashtra,0,1.5
Chandrapur,Maharashtra,0,1.5
Dhule,Maharashtra,0,1.5
Gadchiroli,Maharashtra,0,1.5
Hingoli,Maharashtra,0,1.5
Jalgaon,Maharashtra,0,1.5
Jalna,Maharashtra,0,1.5
Latur,Maharashtra,0,1.5
Nanded,Maharashtra,0,1.5
Nandurbar,Maharashtra,0,1.5
Nashik,Maharashtra,0,1.5
Osmanabad,Maharashtra,0,1.5
Palghar,Maharashtra,0,1.5
Parbhani,Maharashtra,0,1.5
Raigad,Maharashtra,0,1.5
Sindhudurg,Maharashtra,0,1.5
Solapur,Maharashtra,0,1.5
Wardha,Maharashtra,0,1.5
Washim,Maharashtra,0,1.5
Yavatmal,Maharashtra,0,1.5

Bengaluru,Karnataka,38,1.5
Kalaburagi,Karnataka,3,1.5
Kodagu,Karnataka,1,1.5
Chikkaballapura,Karnataka,4,1.5
Mysuru,Karnataka,3,1.5
Dharwad,Karnataka,1,1.5
Uttara Kannada,Karnataka,4,1.5
Dakshina Kannada,Karnataka,6,1.5
Udupi,Karnataka,1,1.5
Chitradurga,Karnataka,1,1.5
Tumkur,Karnataka,1,1.5
Davanagere,Karnataka,1,1.5
Bagalkot,Karnataka,0,1.5
Ballari,Karnataka,0,1.5
Belgaum,Karnataka,0,1.5
Bidar,Karnataka,0,1.5
Chamarajnagar,Karnataka,0,1.5
Gadag,Karnataka,0,1.5
Hassan,Karnataka,0,1.5
Haveri,Karnataka,0,1.5
Kolar,Karnataka,0,1.5
Koppal,Karnataka,0,1.5
Mandya,Karnataka,0,1.5
Raichur,Karnataka,0,1.5
Ramanagara,Karnataka,0,1.5
Shimoga,Karnataka,0,1.5
Tumakuru,Karnataka,0,1.5
Vijayapura,Karnataka,0,1.5
Yadgir,Karnataka,0,1.5

Unknown,Telangana,14,1.5
Hyderabad,Telangana,36,1.5
Karimnagar,Telangana,3,1.5
Bhadradri Kothagudem,Telangana,3,1.5
Ranga Reddy,Telangana,2,1.5
Medchal Malkajgiri,Telangana,1,1.5
Adilabad,Telangana,0,1.5
Komaram Bheem,Telangana,0,1.5
Jagtial,Telangana,0,1.5
Jangaon,Telangana,0,1.5
Jayashankar Bhupalpally,Telangana,0,1.5
Jogulama Gadwal,Telangana,0,1.5
Kamareddy,Telangana,0,1.5
Khammam,Telangana,0,1.5
Mahabubabad,Telangana,0,1.5
Mahbubnagar,Telangana,0,1.5
Mancherial,Telangana,0,1.5
Medak,Telangana,0,1.5
Mulugu,Telangana,0,1.5
Nalgonda,Telangana,0,1.5
Narayanpet,Telangana,0,1.5
Nagarkurnool,Telangana,0,1.5
Nirmal,Telangana,0,1.5
Nizamabad,Telangana,0,1.5
Peddapalli,Telangana,0,1.5
Rajanna Sircilla,Telangana,0,1.5
Sangareddy,Telangana,0,1.5
Siddipet,Telangana,0,1.5
Suryapet,Telangana,0,1.5
Vikarabad,Telangana,0,1.5
Wanaparthy,Telangana,0,1.5
Warangal Urban,Telangana,0,1.5
Warangal Rural,Telangana,0,1.5
Yadadri Bhuvanagiri,Telangana,0,1.5

Unknown,Gujarat,7,2
Rajkot,Gujarat,7,2
Surat,Gujarat,5,2
Ahmedabad,Gujarat,17,2
Vadodara,Gujarat,9,2
Gandhinagar,Gujarat,7,2
Kutch,Gujarat,1,2
Mehsana,Gujarat,1,2
Amreli,Gujarat,0,2
Anand,Gujarat,0,2
Aravalli,Gujarat,0,2
Banaskantha,Gujarat,0,2
Bharuch,Gujarat,0,2
Bhavnagar,Gujarat,0,2
Botad,Gujarat,0,2
Chhota Udepur,Gujarat,0,2
Dahod,Gujarat,0,2
Dang,Gujarat,0,2
Devbhoomi Dwarka,Gujarat,0,2
Gir Somnath,Gujarat,0,2
Jamnagar,Gujarat,0,2
Junagadh,Gujarat,0,2
Kheda,Gujarat,0,2
Mahisagar,Gujarat,0,2
Morbi,Gujarat,0,2
Narmada,Gujarat,0,2
Navsari,Gujarat,0,2
Panchmahal,Gujarat,0,2
Patan,Gujarat,0,2
Porbandar,Gujarat,0,2
Sabarkantha,Gujarat,0,2
Surendranagar,Gujarat,0,2
Tapi,Gujarat,0,2
Valsad,Gujarat,0,2

Unknown,Rajasthan,10,1.5
Jaipur,Rajasthan,11,1.5
Jhunjhunu,Rajasthan,6,1.5
Bhilwara,Rajasthan,17,1.5
Jodhpur,Rajasthan,4,1.5
Pratapgarh,Rajasthan,2,1.5
Ajmer,Rajasthan,0,1.5
Alwar,Rajasthan,0,1.5
Bikaner,Rajasthan,0,1.5
Barmer,Rajasthan,0,1.5
Banswara,Rajasthan,0,1.5
Bharatpur,Rajasthan,0,1.5
Baran,Rajasthan,0,1.5
Bundi,Rajasthan,0,1.5
Churu,Rajasthan,0,1.5
Chittorgarh,Rajasthan,0,1.5
Dausa,Rajasthan,0,1.5
Dholpur,Rajasthan,0,1.5
Durgarpur,Rajasthan,0,1.5
Ganganagar,Rajasthan,0,1.5
Hanumangarh,Rajasthan,0,1.5
Jalore,Rajasthan,0,1.5
Jaisalmer,Rajasthan,0,1.5
Jhalawar,Rajasthan,0,1.5
Karauli,Rajasthan,0,1.5
Kota,Rajasthan,0,1.5
Nagaur,Rajasthan,0,1.5
Pali,Rajasthan,0,1.5
Rajsamand,Rajasthan,0,1.5
Sikar,Rajasthan,0,1.5
Sawai Madhopur,Rajasthan,0,1.5
Sirohi,Rajasthan,0,1.5
Tonk,Rajasthan,0,1.5
Udaipur,Rajasthan,0,1.5

Unknown,Uttar Pradesh,7,2
Agra,Uttar Pradesh,9,2
Ghaziabad,Uttar Pradesh,3,2
Lucknow,Uttar Pradesh,8,2
Gautam Buddha Nagar,Uttar Pradesh,16,2
Moradabad,Uttar Pradesh,1,2
Varanasi,Uttar Pradesh,1,2
Kanpur,Uttar Pradesh,1,2
Pilibhit,Uttar Pradesh,2,2
Jaunpur,Uttar Pradesh,1,2
Baghpat,Uttar Pradesh,1,2
Aligarh,Uttar Pradesh,0,2
Allahabad,Uttar Pradesh,0,2
Ambedkar Nagar,Uttar Pradesh,0,2
Amethi,Uttar Pradesh,0,2
Amroha,Uttar Pradesh,0,2
Auraiya,Uttar Pradesh,0,2
Azamgarh,Uttar Pradesh,0,2
Bahraich,Uttar Pradesh,0,2
Balrampur,Uttar Pradesh,0,2
Ballia,Uttar Pradesh,0,2
Banda,Uttar Pradesh,0,2
Barabanki,Uttar Pradesh,0,2
Bareilly,Uttar Pradesh,0,2
Basti,Uttar Pradesh,0,2
Bhadohi,Uttar Pradesh,0,2
Bijnor,Uttar Pradesh,0,2
Budaun,Uttar Pradesh,0,2
Bulandshahr,Uttar Pradesh,0,2
Chandauli,Uttar Pradesh,0,2
Chitrakoot,Uttar Pradesh,0,2
Deoria,Uttar Pradesh,0,2
Etah,Uttar Pradesh,0,2
Etawah,Uttar Pradesh,0,2
Faizabad,Uttar Pradesh,0,2
Farrukhabad,Uttar Pradesh,0,2
Fatehpur,Uttar Pradesh,0,2
Firozabad,Uttar Pradesh,0,2
Ghazipur,Uttar Pradesh,0,2
Gonda,Uttar Pradesh,0,2
Gorakhpur,Uttar Pradesh,0,2
Hamirpur,Uttar Pradesh,0,2
Hapur,Uttar Pradesh,0,2
Hardoi,Uttar Pradesh,0,2
Hathras,Uttar Pradesh,0,2
Jalaun,Uttar Pradesh,0,2
Jhansi,Uttar Pradesh,0,2
Kannauj,Uttar Pradesh,0,2
Kasganj,Uttar Pradesh,0,2
Kaushambi,Uttar Pradesh,0,2
Kushinagar,Uttar Pradesh,0,2
Lakhimpur Kheri,Uttar Pradesh,0,2
Lalitpur,Uttar Pradesh,0,2
Maharajganj,Uttar Pradesh,0,2
Mahoba,Uttar Pradesh,0,2
Mainpuri,Uttar Pradesh,0,2
Mathura,Uttar Pradesh,0,2
Mau,Uttar Pradesh,0,2
Meerut,Uttar Pradesh,0,2
Mirzapur,Uttar Pradesh,0,2
Muzaffarnagar,Uttar Pradesh,0,2
Pratapgarh,Uttar Pradesh,0,2
Raebareli,Uttar Pradesh,0,2
Rampur,Uttar Pradesh,0,2
Saharanpur,Uttar Pradesh,0,2
Sambhal,Uttar Pradesh,0,2
Sant Kabir Nagar,Uttar Pradesh,0,2
Shahjahanpur,Uttar Pradesh,0,2
Shamli,Uttar Pradesh,0,2
Shravasti,Uttar Pradesh,0,2
Siddharthnagar,Uttar Pradesh,0,2
Sitapur,Uttar Pradesh,0,2
Sultanpur,Uttar Pradesh,0,2
Unnao,Uttar Pradesh,0,2

Unknown,Delhi,17,2
East Delhi,Delhi,1,2
South West Delhi,Delhi,3,2
West Delhi,Delhi,1,2
Delhi,Delhi,11,2
South Delhi,Delhi,1,2
North East Delhi,Delhi,1,2
North Delhi,Delhi,2,2
North West Delhi,Delhi,3,2
Central Delhi,Delhi,0,2
Shahdara,Delhi,0,2
South East Delhi,Delhi,0,2

Chennai,Tamil Nadu,19,1.5
Erode,Tamil Nadu,5,1.5
Coimbatore,Tamil Nadu,1,1.5
Tiruneveli,Tamil Nadu,1,1.5
Tiruppur,Tamil Nadu,1,1.5
Madurai,Tamil Nadu,3,1.5
Salem,Tamil Nadu,6,1.5
Vellore,Tamil Nadu,2,1.5
Tiruchirappalli,Tamil Nadu,1,1.5
Kumbakonam,Tamil Nadu,1,1.5
Ariyalur,Tamil Nadu,0,1.5
Chengalpattu,Tamil Nadu,0,1.5
Cuddalore,Tamil Nadu,0,1.5
Dharmapuri,Tamil Nadu,0,1.5
Dindigul,Tamil Nadu,0,1.5
Kallakurichi,Tamil Nadu,0,1.5
Kanchipuram,Tamil Nadu,0,1.5
Kanyakumari,Tamil Nadu,0,1.5
Karuru,Tamil Nadu,0,1.5
Krishnagiri,Tamil Nadu,0,1.5
Mayiladuthurai,Tamil Nadu,0,1.5
Nagapattinam,Tamil Nadu,0,1.5
Niligiris,Tamil Nadu,0,1.5
Namakkal,Tamil Nadu,0,1.5
Perambalur,Tamil Nadu,0,1.5
Pudukottai,Tamil Nadu,0,1.5
Ramanathapuram,Tamil Nadu,0,1.5
Ranipet,Tamil Nadu,0,1.5
Sivaganga,Tamil Nadu,0,1.5
Tenkasi,Tamil Nadu,0,1.5
Theni,Tamil Nadu,0,1.5
Tirunelveli,Tamil Nadu,0,1.5
Thanjavur,Tamil Nadu,0,1.5
Thoothukudi,Tamil Nadu,0,1.5
Tirupattur,Tamil Nadu,0,1.5
Tiruvallur,Tamil Nadu,0,1.5
Tiruvarur,Tamil Nadu,0,1.5
Tiruvannamalai,Tamil Nadu,0,1.5
Viluppuram,Tamil Nadu,0,1.5
Virudhunagar,Tamil Nadu,0,1.5

Unknown,Punjab,3,2
Amritsar,Punjab,2,2
Shaheed Bhagat Singh Nagar,Punjab,19,2
Sahibzada Ajit Singh Nagar,Punjab,6,2
Hoshiarpur,Punjab,2,2
Jalandhar,Punjab,5,2
Ludhiana,Punjab,1,2
Barnala,Punjab,0,2
Bathinda,Punjab,0,2
Firozpur,Punjab,0,2
Faridkot,Punjab,0,2
Fatehgarh Sahib,Punjab,0,2
Fazilka,Punjab,0,2
Gurdaspur,Punjab,0,2
Hoshiarpur,Punjab,0,2
Jalandhar,Punjab,0,2
Kapurthala,Punjab,0,2
Mansa,Punjab,0,2
Moga,Punjab,0,2
Sri Muktsar Sahib,Punjab,0,2
Pathankot,Punjab,0,2
Patiala,Punjab,0,2
Rupnagar,Punjab,0,2
Sangrur,Punjab,0,2
Tarn Taran,Punjab,0,2

Unknown,Haryana,1,2
Gurugram,Haryana,24,2
Faridabad,Haryana,2,2
Panipat,Haryana,3,2
Panchkula,Haryana,1,2
Sonepat,Haryana,1,2
Palwal,Haryana,1,2
Bhiwani,Haryana,0,2
Hisar,Haryana,0,2
Jhajjar,Haryana,0,2
Jind,Haryana,0,2
Kaithal,Haryana,0,2
Karnal,Haryana,0,2
Kurukshetra,Haryana,0,2
Nuh,Haryana,0,2
Rewari,Haryana,0,2
Rohtak,Haryana,0,2
Sirsa,Haryana,0,2
Yamunanagar,Haryana,0,2
Mahendragarh,Haryana,0,2
Charkhi Dadri,Haryana,0,2
Fatehabad,Haryana,0,2
Ambala,Haryana,0,2

Jabalpur,Madhya Pradesh,8,2
Bhopal,Madhya Pradesh,3,2
Indore,Madhya Pradesh,16,2
Ujjain,Madhya Pradesh,3,2
Gwalior,Madhya Pradesh,1,2
Shivpuri,Madhya Pradesh,2,2
Raisen,Madhya Pradesh,0,2
Rajgarh,Madhya Pradesh,0,2
Sehore,Madhya Pradesh,0,2
Vidisha,Madhya Pradesh,0,2
Morena,Madhya Pradesh,0,2
Sheopur,Madhya Pradesh,0,2
Bhind,Madhya Pradesh,0,2
Ashoknagar,Madhya Pradesh,0,2
Datia,Madhya Pradesh,0,2
Guna,Madhya Pradesh,0,2
Chachaura-Binaganj,Madhya Pradesh,0,2
Alirajpur,Madhya Pradesh,0,2
Barwani,Madhya Pradesh,0,2
Burhanpur,Madhya Pradesh,0,2
Dhar,Madhya Pradesh,0,2
Jhabua,Madhya Pradesh,0,2
