Andaman and Nicobar Islands,   0.38,   0                                                 
Andhra Pradesh,               49.70,   7
Arunachal Pradesh,             1.38,   0
Assam,                        31.20,   0
Bihar,                       104.01,   2
Chandigarh,                    1.05,   5
Chhattisgarh,                 25.54,   6
Dadra and Nagar Haveli,        0.34,   0                              
Daman and Diu,                 0.25,   0   
Delhi,                        16.78,  31
Goa,                           1.46,   0
Gujarat,                      60.43,  29
Haryana,                      25.35,  26                
Himachal Pradesh,              6.86,   3
Jammu and Kashmir,            12.54,   4                             
Jharkhand,                    32.98,   0
Karnataka,                    61.09,  37   
Kerala,                       33.40,  95   
Ladakh,                        0.27,  13   
Lakshadweep,                   0.06,   0   
Maharashtra,                 112.37,  87
Madhya Pradesh,               72.63,   7
Meghalaya,                     2.96,   0
Mizoram,                       1.09,   0
Manipur,                       2.85,   0
Nagaland,                      1.98,   0
Orissa,                       41.97,   2
Puducherry,                    1.24,   1                                            
Punjab,                       27.75,  21                                               
Rajasthan,                    68.55,  33
Sikkim,                        0.61,   0
Tamil Nadu,                   72.15,  10
Telangana,                    35.20,  22
Tripura,                       3.67,   0
Uttar Pradesh,               199.81,  33
Uttarakhand,                  10.08,   3
West Bengal,                  91.27,   7
